title,view_count,likes,dislikes,comment_count
"BTS (방탄소년단) 'Dynamite' Official MV",124756617,9846002,358380,4823536
"Our family tested positive for Covid-19..",1053692,193206,2906,15999
"GULZAAR CHHANIWALA | THANDI THANDI (Official Video) | Latest Haryanvi Song 2020 | Speed Records",2731943,382646,10316,31330
"Mirzapur - An Ode To Fandom | Amazon Prime Video",2498368,187377,3746,11975
"Shendur Lal Chadhayo Achchha Gajmukhko - Ganesh Aarti | Ganpati Songs | Sindur Lal Chadayo",861629,14593,703,539
"Sidhu Moose Wala - My Block | Official Video | New Punjabi Song 2020 | Saga Music",10568521,594786,52754,360940
"BANNED (Full Video)  Ranjit Bawa | Sukh Brar | Kabal Saroopwali | Latest Punjabi Song 2020",814843,158871,1253,17295
"IK SUPNA (Official Video) SINGGA | Latest Punjabi Songs 2020",3175529,195972,3589,18131
"हरतालिका तीज स्पेशल - देवो के देव शिव कैलाशी | शिव भजन | Hartalika Teej Special Shiv Bhajan 2020",863190,11192,1771,3872
"Gupp Marda (Official Video) | Kulwinder Billa Feat Gurlej Akhtar | Latest Punjabi Songs 2020",4046748,172494,2677,6035
"Kolumande || Kannada 2K Album Video Song || Chandan Shetty || Anand Audio || Murali Master ||",1502183,50069,5157,2243
"Driving Our Car Underwater | गाडी को पानी में कभी मत डुबाना | Khel Khatam",6604282,272765,42941,19233
"दर्द भरा तीज त्योहार व्रत गीत || सपना में शिव जी कईलन दोसर विवाह || Anshu Priya Paramparik Teej Geet",2138311,11474,2574,4503
"The Software DevLOVEper || EP - 3 || Shanmukh Jaswanth Ft. Vaishnavi Chaitanya || Infinitum Media",841311,50738,965,6313
"Smile Please!  | Comedy | Karikku",10544103,765916,12287,39065
"पिया जी का प्यार !! पति पत्नी  के प्यार की दर्द भरी कहानी!! #Amrita dixit #teej special #video song",840403,5414,1235,1964
"Muqabla | Mr. Faisu Ft. Aadil Khan Choreography",916087,142163,57728,46896
"BTS (방탄소년단) 'Dynamite' Official Teaser",59680857,6104081,151162,997755
"My New SuperBike - Kawasaki Ninja H2 !! 😍🔥",475854,50276,3778,3374
"BYN : How To Impress your boss",730906,92652,1949,3674
"Apartment Secretary Prank | Prankster Rahul Tamil Prank | PSR India 2020",858954,66311,1701,5263
"Aai, Bappa & Neighbours | #ShubhAarambh #YandachaGanpatiGharchyaGhari #bhadipa",290404,28649,270,1600
"Dikkiloona - Official Trailer | Santhanam | Yuvanshankar Raja | Karthik Yogi",2886800,180155,3654,5634
"TENET - Final Trailer",1403201,74149,1025,6436
"Choy Ji Mari Hambhad Rakhnar | ચોય જી મારી હંભાળ રાખનાર | Jignesh Barot - Kaviraj | Gujarati Song",467235,16395,972,728
"35 Aali Coke (Official Song ) | KD | New Haryanvi Songs Haryanavi 2020 | Sonotek Music",1350391,50143,1825,2952
"No Competition Jass Manak (Full Album) Vishal Mishra | DIVINE | Sunidhi Chauhan | AseesK  | Aditya D",3184776,253727,18381,47700
"Loaded (Official Video) | Ninja | Ishita Raj | Gurlez Akhtar |Latest Punjabi Songs|New Punjabi Songs",7497922,296874,9023,10475
"OH NO! 12 Back To School Funny Pranks! Pranks on Teacher and Classmates By Crafty Panda",1586636,13410,2122,414
"Chithi 2 - Episode 66 | 19th August 2020 | Sun TV Serial | Tamil Serial",813263,7456,668,321
"Megastar Chiranjeevi | Megastar Common Motion Poster | Mega Fans | Madhura Audio",217920,12402,669,340
"Babbu Maan : Adab Punjabi | Pagal Shayar | New Punjabi Song 2020",5030046,371871,22246,488895
"Sembaruthi | Daily at 9:00 PM | Aadhi, Parvathy | Promo | Zee Tamil",1414535,12486,1392,758
"Fareb (Offical Video) Goldboy Ft Mahira Sharma | Jaskaran Riar|Latest Punjabi Songs 2020 | BangMusic",716309,36406,1690,4035
"SCHOOL GIRLS - Then vs Now | ShrutiArjunAnand",2781943,158895,10156,8099
"Super Star | 2K Teaser | Niranjan Sudhindra | Yash | Upendra | Ramesh Venkatesh Babu | Raghavendra.V",520346,32753,2206,3288
"Kundali Bhagya | Premiere Episode 753 Preview - Aug 21 2020 | Before ZEE TV | Hindi TV Serial",2215363,13631,3147,2349
"BTS Tease “Dynamite” Performance At The VMAs | #MTVFreshOut",338529,46296,218,1763
"CD याद है आपको? Technological Advancements & Evolution and Random Facts - TEF Ep 106",1478141,210370,3302,17689
"Chithi 2 - Episode 67 | 20th August 2020 | Sun TV Serial | Tamil Serial",476974,6057,498,266
"The Age I Turned Into My Mom || Mahathalli || Tamada Media",759457,33964,1311,4483
"37 Kg Arapaima Catch Through Hand Line From Quarry 😱 അരാപൈമയെ കൈ ചൂണ്ടയിൽ പിടിച്ചതാ വിശ്വസിക്കുമോ?",799366,44651,1619,3591
"SEED - Sultaan (Official Music Video)",216198,28730,2152,4075
"MY NEW BEAST SUPERBIKE DELIVERY !! 😍🔥",603944,54172,4716,3991
"Birthday Vlog 2020 - Steffi Ulagam",960346,40885,803,12354
"HERA PHERI - | ELVISH YADAV |",3227944,386745,17801,23134
"आसानी से स्टीम मोदक बनाने की विधि - steam ukadiche modak ki recipe - cookingshooking",273713,14098,318,1594
"Indian Maids | Kaamwali | Sanjhalika Vlog",570684,8885,2216,1244
"हरतालिकेची कहाणी, शंकराने पार्वतीला सांगितलेली कथा Hartalika Katha",399250,2514,338,266
"Niharika & Chaitanya Engagement UNSEEN Moments | MS Entertainments",1169049,12052,1156,425
"வாயில் வைத்தவுடன் கரையும் வித விதமான பூரணம் கொழுக்கட்டை | pooranam kozhukattai | kozhukattai recipe",703285,7017,616,248
"Corona Virus: भारत में कोरोना के खात्मे की 1-2 नहीं 3 वजह है!",844067,24498,2733,2843
"EKDANTA - RAJAL BAROT | DJ HARI | New Ganpati DJ Remix Song 2020 | Ganesha Status by RAGHAV DIGITAL",81746,2132,135,111
"Zakir Meets Bandish Bandits |ft.Ritwik Bhowmik | Shreya Chaudhry | Amazon Prime Video",273594,25211,289,1394
"Bapu Bommaki Pellanta Event Promo | Niharika | Vinayaka Chavithi Special | 23rd Aug Sun at 5 PM",6849956,122812,8361,3758
"AERO CYCLE MAKING | POWERFUL AIRCYCLE MAKING | M4 TECH |",700009,69834,1436,6022
"Mash Malayalam Short Film | Uma Nanda | Riyas Khan | Sreeram Ramachandran",259269,14066,451,992
"Gajendra Verma | Tere Nashe Mein Choor | Official Video",808072,62864,2801,3317
"Ala Modalaindi | EP-04/05 Mugimpu Modhalu | Krazy Khanna | Chai Bisket",67266,2988,213,193
"Ki Kore Bolbo Tomay | Mahaporinoy Porbo | 21st - 22nd August, Fri - Sat 9:30 PM | Promo | Zee Bangla",1099537,10417,715,671
"The Magic Book - Amit Bhadana - Sci-Fi Comedy ( Katayi Zeher )",10032276,899070,45533,79056
"बापू RAID ON शराबी छोरू ( PART-4) || FUNNY VIDEO || KANGRA BOYS",213900,33107,600,2117
"Class of '83 | Official Trailer | Bobby Deol | Streaming Now on Netflix",258241,8303,1056,717
"💥3000/- രൂപയുടെ എന്റെ പുതിയ മീനുകൾ | I bought new set of fishes | 3000/- Rs purchase",354068,29028,476,2711
"Anugraheethan Antony - Official Teaser |Sunny Wayne,Gouri Kishan |Arun Muraleedharan | Prince Joy|HD",886720,65820,562,1322
"SUMIT GOSWAMI - TORA (OFFICIAL VIDEO) | KHATRI | DEEPESH GOYAL | LATEST HARYANVI SONG 2020",10298305,532550,13601,19546
"FilterCopy | Awkward Situations With Mom | Ft. Ahsaas Channa and Kulbir Kaur",2291032,111489,2515,2672
"Uthi Uthi Ba Moreshwara | उठी उठी बा मोरेश्वरा | Suresh Wadkar",27961,123,13,3
"Naam Iruvar Namakku Iruvar | 21st to 22nd August 2020 - Promo",1077739,19093,474,495
"Son Of Abish feat. Flying Beast Family | Gaurav Taneja | Ritu Rathee | Rasbhari",288347,22184,325,923
"Giving JoJo Siwa A FULL MAKEOVER!",7628571,670808,14922,60401
"Why Prashant Bhushan Refused to Apologise to the Supreme Court | The Deshbhakt with Akash Banerjee",456958,51350,1753,7344
"मज़ेदार हैक्स जो सही में काम करेंगे || बढ़िया और मज़ेदार ट्रिक्स 123 GO!",5385402,39158,12677,2813
"MEGA RAP Song Full Video | A Tribute To Megastar Chiranjeevi | Siva Cherry | Telugu FilmNagar",166105,10347,548,471
"BADMASHI (Teaser) Veet Baljit ft Afsana Khan | Latest Punjabi Songs 2020",24004,3481,34,251
"ਲੱਗ ਗਿਆ ਪੰਜਾਬ 'ਚ  ਕਰਫ਼ਿਊ | Punjab Weekend Lockdown and Night Curfew News Today | COVID 19 Update",175051,5295,387,354
"മാസങ്ങൾക് ശേഷം ഒരു കിടിലൻ കല്യാണം കൂടി 😍😍 ||ASHNA & SALEEL|| EPISODE 169",321844,11269,1219,1226
"Utth Jaa Rey - Hindi Song | World Entrepreneur's Day | Harshil Karia X BeerBiceps | The Ranveer Show",138569,24611,274,1383
"Hartalika Puja Vidhi  हरतालिका पूजा विधी",248390,1269,178,59
"Vinayaka Chavithi Pooja Song - Ganesh Chaturthi Special Song | Ganapathi Bhakti Songs",26588,199,19,14
"Pandian Stores | 21st to 22nd August 2020 - Promo",1375997,15652,645,601
"Ganesh Chaturthi Special Songs - Morya Morya | Best Ganpati Songs Non Stop | Ganpati Songs Marathi",69306,847,66,63
"13 KA 3 ( Video ) | Ruchika Jangid | Parul Khatri | New Haryanvi Songs Haryanavi 2020 | Kala Niketan",32458,1641,124,89
